Price,Close,High,Low,Open,Volume
Ticker,TM,TM,TM,TM,TM
Date,,,,,
2016-05-10,103.25018310546875,103.25018310546875,102.3932097878921,102.59021903539302,483400
2016-05-11,96.96573638916016,100.20646529593772,96.55202071957774,99.80260196769012,1241800
2016-05-12,99.8616943359375,100.46255936006443,96.96572993250132,96.96572993250132,1043200
2016-05-13,98.29551696777344,99.32978735466683,98.19701609975519,98.73877463142281,371600
2016-05-16,99.31008911132812,99.60559922731623,98.62057552753511,98.66982220344352,322200
2016-05-17,99.10323333740234,99.84200109957453,98.99488013107302,99.4972443135877,305800
2016-05-18,100.00945281982422,100.56106367463316,99.02442914187439,99.09338049872551,374300
2016-05-19,98.11820983886719,98.37431810113904,97.74390354411165,98.07880798966119,402600
2016-05-20,99.10323333740234,99.56619567078506,98.89637926581024,99.12293050440118,340800
2016-05-23,98.05911254882812,98.81757749277605,97.97045650777036,98.81757749277605,447900
2016-05-24,99.13278198242188,99.59574431177407,97.91135473050183,98.4334160754703,852500
2016-05-25,101.0831298828125,101.22103259289422,99.92080167274221,100.1276557378648,772000
2016-05-26,100.73836517333984,101.2111798310343,100.54136344979533,101.08312946224378,371000
2016-05-27,99.08352661132812,100.34436321213902,98.72892500672391,100.275411856364,417600
2016-05-31,101.8613052368164,102.42276844968984,101.09298043197452,101.8021987040535,673300
2016-06-01,101.78250122070312,102.71827073421014,101.28013702701705,102.67886888420198,540200
2016-06-02,102.2651596069336,102.43261183127555,101.66429455240365,101.85145145910018,301000
2016-06-03,101.949951171875,102.51141437047706,101.23088057675727,102.13710807645379,449900
2016-06-06,103.95939636230469,104.25489894663102,103.5259835537986,104.03820005751199,559800
2016-06-07,103.91014862060547,104.21551107969492,103.83135243564367,104.03820651204553,349500
2016-06-08,104.06775665283203,104.2155117126263,103.71314751537963,103.97910061090167,217900
2016-06-09,102.93497467041016,103.14182874161591,102.59021788506722,102.93497467041016,283300
2016-06-10,101.6544418334961,102.20606021035866,101.21118417891226,102.09770700321428,316700
2016-06-13,100.16706085205078,101.16192936220511,99.97005160612841,100.72852405144451,310000
2016-06-14,99.56619262695312,100.02915494618266,98.72892402511425,99.65484114843925,375800
2016-06-15,100.94522857666016,101.69384115176278,100.73836699352651,101.10282845531654,414900
